"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
23,"No","Travel_Rarely",650,"Research & Development",9,1,"Medical",758,2,"Male",37,3,1,"Laboratory Technician",1,"Married",2500,4344,1,"No",14,3,4,1,5,2,4,4,3,0,2
42,"No","Travel_Frequently",288,"Research & Development",2,3,"Life Sciences",1547,4,"Male",40,3,3,"Healthcare Representative",4,"Married",10124,18611,2,"Yes",14,3,3,1,24,3,1,20,8,13,9
47,"No","Non-Travel",1162,"Research & Development",1,1,"Medical",2000,3,"Female",98,3,3,"Research Director",2,"Married",11957,17231,0,"No",18,3,1,2,14,3,1,13,8,5,12
46,"No","Travel_Rarely",1003,"Research & Development",8,4,"Life Sciences",1080,4,"Female",74,2,2,"Research Scientist",1,"Divorced",4615,21029,8,"Yes",23,4,1,3,19,2,3,16,13,1,7
39,"No","Travel_Frequently",672,"Research & Development",7,2,"Medical",444,3,"Male",54,2,5,"Manager",4,"Married",19272,21141,1,"No",15,3,1,1,21,2,3,21,9,13,3
43,"No","Travel_Rarely",415,"Sales",25,3,"Medical",1076,3,"Male",79,2,3,"Sales Executive",4,"Divorced",10798,5268,5,"No",13,3,3,1,18,5,3,1,0,0,0
30,"No","Travel_Rarely",911,"Research & Development",1,2,"Medical",1989,4,"Male",76,3,1,"Laboratory Technician",2,"Married",3748,4077,1,"No",13,3,3,0,12,6,2,12,8,1,7
47,"No","Travel_Frequently",217,"Sales",3,3,"Medical",746,4,"Female",49,3,4,"Sales Executive",3,"Divorced",13770,10225,9,"Yes",12,3,4,2,28,2,2,22,2,11,13
36,"No","Travel_Frequently",469,"Research & Development",3,3,"Technical Degree",1257,3,"Male",46,3,1,"Research Scientist",2,"Married",3692,9256,1,"No",12,3,3,0,12,2,2,11,10,0,7
54,"No","Travel_Rarely",1082,"Sales",2,4,"Life Sciences",1070,3,"Female",41,2,3,"Sales Executive",3,"Married",10686,8392,6,"No",11,3,2,1,13,4,3,9,4,7,0
51,"No","Travel_Rarely",313,"Research & Development",3,3,"Medical",258,4,"Female",98,3,4,"Healthcare Representative",2,"Single",13734,7192,3,"No",18,3,3,0,21,6,3,7,7,1,0
35,"No","Travel_Rarely",1361,"Sales",17,4,"Life Sciences",1218,3,"Male",94,3,2,"Sales Executive",1,"Married",8966,21026,3,"Yes",15,3,4,3,15,2,3,7,7,1,7
35,"No","Travel_Rarely",1214,"Research & Development",1,3,"Medical",105,2,"Male",30,2,1,"Research Scientist",3,"Single",2859,26278,1,"No",18,3,1,0,6,3,3,6,4,0,4
46,"No","Travel_Rarely",1485,"Research & Development",18,3,"Medical",550,3,"Female",87,3,2,"Manufacturing Director",3,"Divorced",4810,26314,2,"No",14,3,3,1,19,5,2,10,7,0,8
29,"No","Travel_Frequently",442,"Sales",2,2,"Life Sciences",388,2,"Male",44,3,2,"Sales Executive",4,"Single",4554,20260,1,"No",18,3,1,0,10,3,2,10,7,0,9
24,"No","Non-Travel",673,"Research & Development",11,2,"Other",26,1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",4011,8232,0,"No",18,3,4,1,5,5,2,4,2,1,3
34,"No","Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",28,1,"Female",53,3,3,"Research Director",2,"Single",11994,21293,0,"No",11,3,3,0,13,4,3,12,6,2,11
33,"No","Travel_Frequently",970,"Sales",7,3,"Life Sciences",1114,4,"Female",30,3,2,"Sales Executive",2,"Married",4302,13401,0,"No",17,3,3,1,4,3,3,3,2,0,2
21,"No","Travel_Rarely",984,"Research & Development",1,1,"Technical Degree",1131,4,"Female",70,2,1,"Research Scientist",2,"Single",2070,25326,1,"Yes",11,3,3,0,2,6,4,2,2,2,2
30,"No","Travel_Rarely",305,"Research & Development",16,3,"Life Sciences",1763,3,"Male",58,4,2,"Healthcare Representative",3,"Married",5294,9128,3,"No",16,3,3,1,10,3,3,7,0,1,7
27,"No","Travel_Rarely",618,"Research & Development",4,3,"Life Sciences",933,2,"Female",76,3,1,"Research Scientist",3,"Single",2318,17808,1,"No",19,3,3,0,1,2,3,1,1,0,0
38,"No","Travel_Rarely",1084,"Research & Development",29,3,"Technical Degree",273,4,"Male",54,3,2,"Manufacturing Director",4,"Married",6261,4185,3,"No",18,3,1,1,9,3,1,7,7,1,7
27,"No","Travel_Frequently",1410,"Sales",3,1,"Medical",714,4,"Female",71,4,2,"Sales Executive",4,"Divorced",4647,16673,1,"Yes",20,4,2,2,6,3,3,6,5,0,4
44,"No","Travel_Rarely",136,"Research & Development",28,3,"Life Sciences",1523,4,"Male",32,3,4,"Research Director",1,"Married",16328,22074,3,"No",13,3,3,1,24,1,4,20,6,14,17
34,"No","Travel_Rarely",735,"Sales",3,1,"Medical",1915,4,"Female",75,2,2,"Sales Executive",4,"Married",8103,16495,3,"Yes",12,3,3,0,9,3,2,4,2,0,1
39,"No","Travel_Rarely",1089,"Research & Development",6,3,"Life Sciences",1525,2,"Female",32,3,3,"Manufacturing Director",2,"Single",8376,9150,4,"No",18,3,4,0,9,3,3,2,0,2,2
50,"No","Travel_Rarely",1322,"Research & Development",28,3,"Life Sciences",1317,4,"Female",43,3,4,"Research Director",1,"Married",16880,22422,4,"Yes",11,3,2,0,25,2,3,3,2,1,2
29,"No","Non-Travel",746,"Sales",2,3,"Life Sciences",469,4,"Male",61,3,2,"Sales Executive",3,"Married",4649,16928,1,"No",14,3,1,1,4,3,2,4,3,0,2
43,"No","Travel_Frequently",1001,"Research & Development",9,5,"Medical",663,4,"Male",72,3,2,"Laboratory Technician",3,"Divorced",5679,19627,3,"Yes",13,3,2,1,10,3,3,8,7,4,7
38,"No","Travel_Rarely",362,"Research & Development",1,1,"Life Sciences",662,3,"Female",43,3,1,"Research Scientist",1,"Single",2619,14561,3,"No",17,3,4,0,8,3,2,0,0,0,0
31,"No","Non-Travel",1188,"Sales",20,2,"Marketing",947,4,"Female",45,3,2,"Sales Executive",3,"Married",6932,24406,1,"No",13,3,4,1,9,2,2,9,8,0,0
42,"No","Travel_Rarely",319,"Research & Development",24,3,"Medical",605,4,"Male",56,3,3,"Manufacturing Director",1,"Married",7406,6950,1,"Yes",21,4,4,1,10,5,2,10,9,5,8
41,"No","Travel_Rarely",427,"Human Resources",10,4,"Human Resources",731,2,"Male",73,2,5,"Manager",4,"Divorced",19141,8861,3,"No",15,3,2,3,23,2,2,21,6,12,6
45,"No","Travel_Rarely",1015,"Research & Development",5,5,"Medical",1611,3,"Female",50,1,2,"Laboratory Technician",1,"Single",5769,23447,1,"Yes",14,3,1,0,10,3,3,10,7,1,4
29,"No","Travel_Rarely",144,"Sales",10,1,"Marketing",463,4,"Female",39,2,2,"Sales Executive",2,"Divorced",8268,11866,1,"Yes",14,3,1,2,7,2,3,7,7,1,7
48,"No","Travel_Rarely",163,"Sales",2,5,"Marketing",595,2,"Female",37,3,2,"Sales Executive",4,"Married",4051,19658,2,"No",14,3,1,1,14,2,3,9,7,6,7
37,"No","Travel_Rarely",674,"Research & Development",13,3,"Medical",1543,1,"Male",47,3,2,"Research Scientist",4,"Married",4285,3031,1,"No",17,3,1,0,10,2,3,10,8,3,7
51,"No","Travel_Rarely",1469,"Research & Development",8,4,"Life Sciences",296,2,"Male",81,2,3,"Research Director",2,"Married",12490,15736,5,"No",16,3,4,2,16,5,1,10,9,4,7
27,"No","Travel_Frequently",1410,"Sales",3,1,"Medical",714,4,"Female",71,4,2,"Sales Executive",4,"Divorced",4647,16673,1,"Yes",20,4,2,2,6,3,3,6,5,0,4
36,"No","Travel_Rarely",1396,"Research & Development",5,2,"Life Sciences",304,4,"Male",62,3,2,"Laboratory Technician",2,"Single",5914,9945,8,"No",16,3,4,0,16,3,4,13,11,3,7
45,"No","Travel_Rarely",1234,"Sales",11,2,"Life Sciences",1045,4,"Female",90,3,4,"Manager",4,"Married",17650,5404,3,"No",13,3,2,1,26,4,4,9,3,1,1
38,"No","Travel_Rarely",1261,"Research & Development",2,4,"Life Sciences",271,4,"Male",88,3,2,"Manufacturing Director",3,"Married",6553,7259,9,"No",14,3,2,0,14,3,3,1,0,0,0
45,"No","Travel_Rarely",1234,"Sales",11,2,"Life Sciences",1045,4,"Female",90,3,4,"Manager",4,"Married",17650,5404,3,"No",13,3,2,1,26,4,4,9,3,1,1
50,"No","Non-Travel",145,"Sales",1,3,"Life Sciences",1040,4,"Female",95,3,2,"Sales Executive",3,"Married",6347,24920,0,"No",12,3,1,1,19,3,3,18,7,0,13
40,"No","Travel_Rarely",1300,"Research & Development",24,2,"Technical Degree",335,1,"Male",62,3,2,"Research Scientist",4,"Divorced",3319,24447,1,"No",17,3,1,2,9,3,3,9,8,4,7
46,"No","Travel_Rarely",430,"Research & Development",1,4,"Medical",1069,4,"Male",40,3,5,"Research Director",4,"Divorced",19627,21445,9,"No",17,3,4,2,23,0,3,2,2,2,2
47,"No","Travel_Frequently",217,"Sales",3,3,"Medical",746,4,"Female",49,3,4,"Sales Executive",3,"Divorced",13770,10225,9,"Yes",12,3,4,2,28,2,2,22,2,11,13
40,"No","Non-Travel",1142,"Research & Development",8,2,"Life Sciences",1552,4,"Male",72,3,2,"Healthcare Representative",4,"Divorced",4069,8841,3,"Yes",18,3,3,0,8,2,3,2,2,2,2
29,"No","Travel_Rarely",1010,"Research & Development",1,3,"Life Sciences",1249,1,"Female",97,3,1,"Research Scientist",4,"Divorced",3760,5598,1,"No",15,3,1,3,3,5,3,3,2,1,2
34,"No","Travel_Rarely",1354,"Research & Development",5,3,"Medical",153,3,"Female",45,2,3,"Manager",1,"Single",11631,5615,2,"No",12,3,4,0,14,6,3,11,10,5,8
26,"No","Travel_Rarely",841,"Research & Development",6,3,"Other",164,3,"Female",46,2,1,"Research Scientist",2,"Married",2368,23300,1,"No",19,3,3,0,5,3,2,5,4,4,3
34,"No","Travel_Frequently",1069,"Research & Development",2,1,"Life Sciences",256,4,"Male",45,2,2,"Manufacturing Director",3,"Married",9547,14074,1,"No",17,3,3,0,10,2,2,10,9,1,9
48,"No","Travel_Rarely",492,"Sales",16,4,"Life Sciences",1557,3,"Female",96,3,2,"Sales Executive",3,"Divorced",6439,13693,8,"No",14,3,3,1,18,2,3,8,7,7,7
32,"No","Travel_Rarely",334,"Research & Development",5,2,"Life Sciences",21,1,"Male",80,4,1,"Research Scientist",2,"Divorced",3298,15053,0,"Yes",12,3,4,2,7,5,2,6,2,0,5
33,"No","Travel_Rarely",922,"Research & Development",1,5,"Medical",612,1,"Female",95,4,4,"Research Director",3,"Divorced",16184,22578,4,"No",19,3,3,1,10,2,3,6,1,0,5
40,"No","Travel_Rarely",107,"Sales",10,3,"Technical Degree",1239,2,"Female",84,2,2,"Sales Executive",2,"Divorced",6852,11591,7,"No",12,3,2,1,7,2,4,5,1,1,3
18,"No","Non-Travel",1124,"Research & Development",1,3,"Life Sciences",1368,4,"Female",97,3,1,"Laboratory Technician",4,"Single",1611,19305,1,"No",15,3,3,0,0,5,4,0,0,0,0
38,"No","Travel_Rarely",1153,"Research & Development",6,2,"Other",1782,4,"Female",40,2,1,"Laboratory Technician",3,"Married",3702,16376,1,"No",11,3,2,1,5,3,3,5,4,0,4
60,"No","Travel_Frequently",1499,"Sales",28,3,"Marketing",573,3,"Female",80,2,3,"Sales Executive",1,"Married",10266,2845,4,"No",19,3,4,0,22,5,4,18,13,13,11
33,"No","Travel_Rarely",924,"Research & Development",2,3,"Medical",39,3,"Male",78,3,1,"Laboratory Technician",4,"Single",2496,6670,4,"No",11,3,4,0,7,3,3,1,1,0,0
53,"No","Travel_Rarely",868,"Sales",8,3,"Marketing",897,1,"Male",73,3,4,"Sales Executive",4,"Married",11836,22789,5,"No",14,3,3,1,28,3,3,2,0,2,2
33,"No","Non-Travel",530,"Sales",16,3,"Life Sciences",1681,3,"Female",36,3,2,"Sales Executive",4,"Divorced",5368,16130,1,"Yes",25,4,3,1,7,2,3,6,5,1,2
37,"No","Non-Travel",1063,"Research & Development",25,5,"Medical",529,2,"Female",72,3,2,"Research Scientist",3,"Married",4449,23866,3,"Yes",15,3,1,2,15,2,3,13,11,10,7
28,"No","Travel_Rarely",1117,"Research & Development",8,2,"Life Sciences",395,4,"Female",66,3,1,"Research Scientist",4,"Single",3310,4488,1,"No",21,4,4,0,5,3,3,5,3,0,2
27,"No","Travel_Rarely",1055,"Research & Development",2,4,"Life Sciences",1027,1,"Female",47,3,2,"Manufacturing Director",4,"Married",4227,4658,0,"No",18,3,2,1,4,2,3,3,2,2,2
41,"No","Travel_Rarely",337,"Sales",8,3,"Marketing",1909,3,"Female",54,3,2,"Sales Executive",2,"Married",4393,26841,5,"No",21,4,3,1,14,3,3,5,4,1,4
37,"No","Travel_Rarely",397,"Research & Development",7,4,"Medical",102,1,"Male",30,3,3,"Research Director",3,"Single",13664,25258,4,"No",13,3,1,0,16,3,4,5,2,0,2
38,"No","Non-Travel",152,"Sales",10,3,"Technical Degree",983,3,"Female",85,3,2,"Sales Executive",4,"Single",5666,19899,1,"Yes",13,3,2,0,6,1,3,5,3,1,3
37,"No","Travel_Rarely",671,"Research & Development",19,3,"Life Sciences",1631,3,"Male",85,3,2,"Manufacturing Director",3,"Married",5768,26493,3,"No",17,3,1,3,9,2,2,4,3,0,2
25,"No","Travel_Rarely",1356,"Sales",10,4,"Life Sciences",1240,3,"Male",57,3,2,"Sales Executive",4,"Single",4950,20623,0,"No",14,3,2,0,5,4,3,4,3,1,1
26,"No","Travel_Rarely",933,"Sales",1,3,"Life Sciences",476,3,"Male",57,3,2,"Sales Executive",3,"Married",5296,20156,1,"No",17,3,2,1,8,3,3,8,7,7,7
46,"No","Travel_Frequently",1034,"Research & Development",18,1,"Medical",624,1,"Female",86,3,3,"Healthcare Representative",3,"Married",10527,8984,5,"No",11,3,4,0,28,3,2,2,2,1,2
46,"No","Travel_Rarely",488,"Sales",2,3,"Technical Degree",363,3,"Female",75,1,4,"Manager",2,"Married",16872,14977,3,"Yes",12,3,2,1,28,2,2,7,7,7,7
31,"No","Travel_Rarely",1332,"Research & Development",11,2,"Medical",1251,3,"Male",80,3,2,"Healthcare Representative",1,"Married",6833,17089,1,"Yes",12,3,4,0,6,2,2,6,5,0,1
26,"No","Travel_Frequently",921,"Research & Development",1,1,"Medical",1068,1,"Female",66,2,1,"Research Scientist",3,"Divorced",2007,25265,1,"No",13,3,3,2,5,5,3,5,3,1,3
41,"No","Non-Travel",509,"Research & Development",2,4,"Other",616,1,"Female",62,2,2,"Healthcare Representative",3,"Single",6811,2112,2,"Yes",17,3,1,0,10,3,3,8,7,0,7
32,"No","Non-Travel",1146,"Research & Development",15,4,"Medical",1955,3,"Female",34,3,2,"Healthcare Representative",4,"Divorced",6667,16542,5,"No",18,3,2,1,9,6,3,5,1,1,2
45,"No","Travel_Rarely",1268,"Sales",4,2,"Life Sciences",240,3,"Female",30,3,2,"Sales Executive",1,"Divorced",5006,6319,4,"Yes",11,3,1,1,9,3,4,5,4,0,3
50,"No","Travel_Rarely",1126,"Research & Development",1,2,"Medical",997,4,"Male",66,3,4,"Research Director",4,"Divorced",17399,6615,9,"No",22,4,3,1,32,1,2,5,4,1,3
36,"No","Travel_Rarely",938,"Research & Development",2,4,"Medical",958,3,"Male",79,3,1,"Laboratory Technician",3,"Single",2519,12287,4,"No",21,4,3,0,16,6,3,11,8,3,9
43,"No","Travel_Frequently",559,"Research & Development",10,4,"Life Sciences",448,3,"Female",82,2,2,"Laboratory Technician",3,"Divorced",5257,6227,1,"No",11,3,2,1,9,3,4,9,7,0,0
28,"No","Travel_Frequently",467,"Sales",7,3,"Life Sciences",1507,3,"Male",55,3,2,"Sales Executive",1,"Single",4898,11827,0,"No",14,3,4,0,5,5,3,4,2,1,3
35,"No","Travel_Rarely",607,"Research & Development",9,3,"Life Sciences",880,4,"Female",66,2,3,"Manufacturing Director",3,"Married",10685,23457,1,"Yes",20,4,2,1,17,2,3,17,14,5,15
28,"No","Travel_Rarely",440,"Research & Development",21,3,"Medical",221,3,"Male",42,3,1,"Research Scientist",4,"Married",2713,6672,1,"No",11,3,3,1,5,2,1,5,2,0,2
25,"No","Travel_Rarely",1382,"Sales",8,2,"Other",2018,1,"Female",85,3,2,"Sales Executive",3,"Divorced",4907,13684,0,"Yes",22,4,2,1,6,3,2,5,3,0,4
46,"No","Travel_Rarely",228,"Sales",3,3,"Life Sciences",1527,3,"Female",51,3,4,"Manager",2,"Married",16606,11380,8,"No",12,3,4,1,23,2,4,13,12,5,1
25,"No","Travel_Rarely",1382,"Sales",8,2,"Other",2018,1,"Female",85,3,2,"Sales Executive",3,"Divorced",4907,13684,0,"Yes",22,4,2,1,6,3,2,5,3,0,4
42,"No","Travel_Rarely",419,"Sales",12,4,"Marketing",1943,2,"Male",77,3,2,"Sales Executive",4,"Divorced",5087,2900,3,"Yes",12,3,3,2,14,4,3,0,0,0,0
36,"No","Non-Travel",301,"Sales",15,4,"Marketing",2036,4,"Male",88,1,2,"Sales Executive",4,"Divorced",5406,10436,1,"No",24,4,1,1,15,4,2,15,12,11,11
43,"No","Travel_Rarely",1179,"Sales",2,3,"Medical",1706,4,"Male",73,3,2,"Sales Executive",4,"Married",7847,6069,1,"Yes",17,3,1,1,10,3,3,10,9,8,8
26,"No","Travel_Rarely",583,"Research & Development",4,2,"Life Sciences",1275,3,"Male",53,3,1,"Research Scientist",4,"Single",2875,9973,1,"Yes",20,4,2,0,8,2,2,8,5,2,2
35,"No","Travel_Frequently",944,"Sales",1,3,"Marketing",314,3,"Female",92,3,3,"Sales Executive",3,"Single",8789,9096,1,"No",14,3,1,0,10,3,4,10,7,0,8
41,"No","Travel_Rarely",933,"Research & Development",9,4,"Life Sciences",200,3,"Male",94,3,1,"Laboratory Technician",1,"Married",2238,6961,2,"No",21,4,4,1,7,2,3,5,0,1,4
26,"No","Travel_Frequently",575,"Research & Development",1,2,"Life Sciences",792,1,"Female",71,1,1,"Laboratory Technician",4,"Divorced",4364,5288,3,"No",14,3,1,1,5,2,3,2,2,2,0
30,"No","Travel_Rarely",1288,"Sales",29,4,"Technical Degree",1568,3,"Male",33,3,3,"Sales Executive",2,"Married",9250,17799,3,"No",12,3,2,1,9,3,3,4,2,1,3
38,"No","Travel_Frequently",1189,"Research & Development",1,3,"Life Sciences",1668,4,"Male",90,3,2,"Research Scientist",4,"Married",4735,9867,7,"No",15,3,4,2,19,4,4,13,11,2,9
45,"No","Travel_Rarely",374,"Sales",20,3,"Life Sciences",2046,4,"Female",50,3,2,"Sales Executive",3,"Single",4850,23333,8,"No",15,3,3,0,8,3,3,5,3,0,1
29,"No","Travel_Rarely",726,"Research & Development",29,1,"Life Sciences",1859,4,"Male",93,1,2,"Healthcare Representative",3,"Divorced",6384,21143,8,"No",17,3,4,2,11,3,3,7,0,1,6
28,"No","Travel_Rarely",950,"Research & Development",3,3,"Medical",1121,4,"Female",93,3,3,"Manufacturing Director",2,"Divorced",7655,8039,0,"No",17,3,2,3,10,3,2,9,7,1,7
37,"No","Travel_Rarely",1017,"Research & Development",1,2,"Medical",340,3,"Female",83,2,1,"Research Scientist",1,"Married",3920,18697,2,"No",14,3,1,1,17,2,2,3,1,0,2
35,"No","Travel_Rarely",384,"Sales",8,4,"Life Sciences",805,1,"Female",72,3,1,"Sales Representative",4,"Married",2572,20317,1,"No",16,3,2,1,3,1,2,3,2,0,2
36,"No","Travel_Rarely",172,"Research & Development",4,4,"Life Sciences",1435,1,"Male",37,2,2,"Laboratory Technician",4,"Single",5810,22604,1,"No",16,3,3,0,10,2,2,10,4,1,8
30,"No","Travel_Frequently",721,"Research & Development",1,2,"Medical",57,3,"Female",58,3,2,"Laboratory Technician",4,"Single",4011,10781,1,"No",23,4,4,0,12,2,3,12,8,3,7
30,"No","Travel_Rarely",231,"Sales",8,2,"Other",982,3,"Male",62,3,3,"Sales Executive",3,"Divorced",7264,9977,5,"No",11,3,1,1,10,2,4,8,4,7,7
27,"No","Non-Travel",691,"Research & Development",9,3,"Medical",218,4,"Male",57,3,1,"Research Scientist",2,"Divorced",2024,5970,6,"No",18,3,4,1,6,1,1,2,2,2,2
34,"No","Travel_Frequently",303,"Sales",2,4,"Marketing",216,3,"Female",75,3,1,"Sales Representative",3,"Married",2231,11314,6,"No",18,3,4,1,6,3,3,4,3,1,2
53,"No","Travel_Rarely",1282,"Research & Development",5,3,"Other",32,3,"Female",58,3,5,"Manager",3,"Divorced",19094,10735,4,"No",11,3,4,1,26,3,2,14,13,4,8
32,"No","Travel_Rarely",1093,"Sales",6,4,"Medical",125,2,"Male",87,3,2,"Sales Executive",3,"Single",5010,24301,1,"No",16,3,1,0,12,0,3,11,8,5,7
36,"No","Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",97,2,"Female",55,4,1,"Laboratory Technician",4,"Married",3038,22002,3,"No",12,3,2,0,5,3,3,1,0,0,0
28,"No","Travel_Rarely",1083,"Research & Development",29,1,"Life Sciences",1514,3,"Male",96,1,2,"Manufacturing Director",2,"Married",6549,3173,1,"No",14,3,2,2,8,2,2,8,6,1,7
47,"No","Travel_Rarely",359,"Research & Development",2,4,"Medical",1443,1,"Female",82,3,4,"Research Director",3,"Married",17169,26703,3,"No",19,3,2,2,26,2,4,20,17,5,6
42,"No","Travel_Rarely",544,"Human Resources",2,1,"Technical Degree",470,3,"Male",52,3,1,"Human Resources",3,"Divorced",2696,24017,0,"Yes",11,3,3,1,4,5,3,3,2,1,0
24,"No","Travel_Frequently",535,"Sales",24,3,"Medical",632,4,"Male",38,3,1,"Sales Representative",4,"Married",2400,5530,0,"No",13,3,3,2,3,3,3,2,2,2,1
33,"No","Travel_Frequently",430,"Sales",7,3,"Medical",1477,4,"Male",54,3,2,"Sales Executive",1,"Married",4373,17456,0,"No",14,3,1,2,5,2,3,4,3,0,3
41,"No","Travel_Rarely",933,"Research & Development",9,4,"Life Sciences",200,3,"Male",94,3,1,"Laboratory Technician",1,"Married",2238,6961,2,"No",21,4,4,1,7,2,3,5,0,1,4
29,"No","Travel_Rarely",469,"Sales",10,3,"Medical",1650,3,"Male",42,2,2,"Sales Executive",3,"Single",5869,23413,9,"No",11,3,3,0,8,2,3,5,2,1,4
34,"No","Travel_Rarely",204,"Sales",14,3,"Technical Degree",666,3,"Female",31,3,1,"Sales Representative",3,"Divorced",2579,2912,1,"Yes",18,3,4,2,8,3,3,8,2,0,6
33,"No","Travel_Rarely",1242,"Sales",8,4,"Life Sciences",1560,1,"Male",46,3,2,"Sales Executive",1,"Married",6392,10589,2,"No",13,3,4,1,8,6,1,2,2,2,2
